Shabby,Prosperous
Slander,Applaud
Sneer,Flatter
Solicit,Protest
Subterfuge,Frankness
Stain,Honor
Spurious,Genuine
Sporadic,Incessant
Spry,Lethargic
Squalid,Tidy
Successful,Destitute
Sterile,Profitable
Stupor,Sensibility
Subsequent,Preceding
Substantial,Tenuous
Subvert,Generate
Superficial,Profound
Sycophant,Devoted
Taboo,Permit
Taciturn,Talkative
Tedious,Exhilarating
Temperate,Boisterous
Tenement,Breakeven
Tenacious,Docile
Throng,Dispersion
Timid,Bold
Tranquil,Violent
Transient,Lasting
Trenchant,Feeble
Treacherous,Forthright
Trivial,Significant
Tumultuous,Peaceful
Tyro,Proficient
Tame,Wild
Terse,Diffuse
Thick,Thin
Thrifty,Extravagant
Tranquil,Agitated
Transparent,Opaque
Tremble,Steady
Uncouth,Elegant
Utterly,Deficiently
Umbrage,Sympathy
Uncouth,Elegant
Urchin,Creep
Urge,Abhorrence
Vain,Modest
Vagrant,Steady
Valor,Fear
Vanity,Modesty
Venerable,Unworthy
Venom,Antidote
Veteran,Novice
Vicious,Noble
Vigilant,Careless
Vivacious,Dispirited
Vilify,Cherish
Vouch,Repudiate
Virtue,Vice
Vivid,Dull
Waive,Impose
Wan,Bright
Wane,Ameliorate
Wary,Heedless
Wed,Divorce
Wicked,Virtuous
Wield,Forgo
Wile,Naivety
Winsome,Alluring
Wilt,Revive
Yell,Whisper
Yield,Resist
Yearn,Content
Yoke,Liberate
Zeal,Apathy
Zenith,Nadir
Zest,Disgust
Zig-zag,Straight
